Categoria,Contrato,Modelo Titular,Operação ,Cadastro - Logistics,Cadastro como Deveria Ser,Modo de carga,Placa,Ultimo BIPE,Dias Sem BIPE,Cadastro,Valor Diária,Energia,STATUS DO FORMS,STATUS DO VEÍCULO,MOTIVO DA MANUTENÇÃO,DESCRIÇÃO DO PROBLEMA (+ recente),ATUALIZAÇÕES,STATUS GEOTAB,Ultima Localização,Nº DE SERIE GEOTAB,Ultima Localização,Horário,Oficina,Contato ,Previsão Desmobilização,TICKET MANUTENÇÃO ROTAGYN,Estacionamentos - veículos em manutenção,Devolução,Representante da Basepex,Data devolução,FORMS
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí,TAR1I83,06/08/2026,5,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,SÓ LEVAR O VEÍCULO NA OFICINA ,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G931W708B5NK,03/08/2026,19:01:45,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,CAAS - Ezvolt - Jundiaí,TAO1B46,07/08/2026,4,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"R. Nilo Peçanha, 340 - Jardim Nova Belem, Francisco Morato - SP, 07909-020, Brasil",G978SPY8W407,03/08/2026,19:08:30,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,Infra MLP,TAR1J52,07/08/2026,4,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11000 - Distrito Industrial, Jundiaí - SP, 13213-030, Brasil",G9UF65EBWTYN,03/08/2026,19:10:30,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra Interna,TAS8D63,07/08/2026,4,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,-,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G9S4VW0SEKJ8,03/08/2026,18:49:44,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra Interna,TAO1A65,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G9SBWYFY0WB9,03/08/2026,19:10:29,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,CAAS - Ezvolt - Jundiaí,TAO1A66,03/08/2026,8,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9E92YZCPF4H,03/08/2026,19:04:19,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAO0J49,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"R. Dante Belodi, 305 - Jardim Ermida II, Jundiaí - SP, 13212-200, Brasil",G9932YNR8B3Z,03/08/2026,19:10:26,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí,TAR1I85,08/08/2026,3,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11000 - Distrito Industrial, Jundiaí - SP, 13213-030, Brasil",G9HJK7H5KPVX,03/08/2026,18:51:53,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP18,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Jundiaí,TAS9D72,08/08/2026,3,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,reaberto sinistro em 14//04 (evm cancelou o anterior); evm informou que enviara para oficina em 20/04/26 -  previsão de peça 29/05,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G9MMZU147K0F,03/08/2026,19:03:58,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí,TAR1I72,08/08/2026,3,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,PHC,OK,"Av. Antônio Frederico Ozanan, 11000 - Distrito Industrial, Jundiaí - SP, 13213-030, Brasil",G98X74H8XDZ2,03/08/2026,19:06:46,-,-,10/ago./26,,,PENDENTE,,,NÃO
